시설명,업종,세부유형,자치구,주소,전화번호,위도,경도
대호체육도장,체육도장업,태권도,관악구,"서울특별시 관악구 인헌6길 24, 지하1층, 3층 (봉천동)",,37.474131226,126.9655066698
더 슈트(The SUIT),체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로15길 3(신림동),,37.4699938654444,126.937405848564
더 스테이 짐(The Stay Gym),체력단련장업,체력단련장,관악구,서울특별시 관악구 신사로 104-1 (신림동),,37.4872197363608,126.91406597477
더 스페셜 짐,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1734 (봉천동),02-884-0440,37.4819865023,126.942772304
더 캐럼 벙커,당구장업,당구장,중구,서울특별시 중구 장충단로 213(광희동2가),02-2272-3949,37.5637229051965,127.006817185343
더 현 스크린골프,골프연습장업,스크린,중구,"서울특별시 중구 퇴계로 447 (황학동, 황학 아크로타워)",02-2233-7279,37.5660402677,127.0217233062
더블B복싱클럽,체육도장업,권투,관악구,서울특별시 관악구 남부순환로 1795 (봉천동),02-878-1282,37.4818779164,126.949669187
더블B복싱클럽,체육도장업,권투,관악구,"서울특별시 관악구 남부순환로 1881, 태화빌딩 5층 (봉천동)",02-876-1282,37.479271738,126.9587067856
더블에스 휘트니스,체력단련장업,체력단련장,중구,서울특별시 중구 삼일대로 299(충무로2가),,37.5615704188052,126.988471331506
더월클라이밍(주) 신림점,인공암벽장업,인공암벽장,관악구,서울특별시 관악구 신원로 35 (신림동),02-877-8821,37.4823122359729,126.929023376476
더월클라이밍(주)사당지점,인공암벽장업,인공암벽장,관악구,서울특별시 관악구 과천대로 939 (남현동),02-585-8821,37.4743771732195,126.981430242321
더짐혼 2호점,체력단련장업,체력단련장,관악구,서울특별시 관악구 신원로 13 (신림동),070-7818-0101,37.4804889623084,126.927698678963
덕화원,체육도장업,검도,중구,서울특별시 중구 수표로 28 (저동2가),02-917-7979,37.5636992823,126.9903565664
데일리PT스튜디오,체력단련장업,체력단련장,관악구,"서울특별시 관악구 난곡로 100, 1층 103,104,105호 (신림동, 파로스프라자A동)",,37.4645001795,126.919613685
델피 운동센터,체력단련장업,체력단련장,중구,서울특별시 중구 다산로 137(신당동),,37.5561169034626,127.011111120255
도복소리태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 쑥고개로11길 37, 은중빌딩 3층,지하1층층 (봉천동)",02-887-5339,37.4813567244,126.9422728267
도시공원,간이운동장,간이운동장,관악구,,02-820-1396,37.491837,126.936677
돌고래당구장,당구장업,당구장,중구,"서울 중구 명동1가 54-8,9",02-847-6915,37.5641274253,126.983701146
동남헬스크럽,체력단련장업,체력단련장,중구,중구 청계천로 180-2(주교동),,37.568507369,126.997727082
동대문골프존고은손,가상체험 체육시설업,골프,중구,서울특별시 중구 을지로 254 (을지로6가),02-2285-0753,37.5659916425,127.0062978532
동방 짐,체력단련장업,체력단련장,관악구,"서울특별시 관악구 호암로26길 17, 지층 (신림동)",02-871-1800,37.4707484769,126.934605421
동방짐 피트니스,체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 266(신림동),,37.4788188912085,126.932328416894
동방헬스장,체력단련장업,체력단련장,관악구,서울특별시 관악구 서림길 22 (신림동),02-6369-0202,37.4751074549,126.937739949
동방헬스타운,체력단련장업,체력단련장,관악구,"서울특별시 관악구 호암로26길 17, 2층 (신림동)",,37.4707484769,126.934605421
동아 태권도,체육도장업,태권도,관악구,서울특별시 관악구 관악로 287 (봉천동),02-872-8992,37.489395201,126.9569460849
동호당구장,당구장업,당구장,중구,서울특별시 중구 동호로 204 (신당동),,37.55621737774445,127.00995483107212
동화당구장,당구장업,당구장,중구,서울 중구 신당동 302-4 지하1층,,37.5632374394,127.014791034
동희SG스크린골프,가상체험 체육시설업,골프,관악구,서울특별시 관악구 신림로22길 24 (신림동),,37.47234926605163,126.9356892864668
두리,당구장업,당구장,중구,서울 중구 태평로1가 62-7,02-736-7085,37.568577028,126.975984926
두바이 당구클럽,당구장업,당구장,관악구,"서울특별시 관악구 남부순환로 1797 (봉천동,지층)",02-878-2905,37.4818924402,126.949922437
둘리당구장,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1541-1 (신림동),,37.4834017373,126.921885936
드림골프연습장,골프연습장업,실내,관악구,서울특별시 관악구 봉천로 226 (신림동),02-888-0076,37.48943794145694,126.92665135981208
드림당구장,당구장업,당구장,관악구,"서울특별시 관악구 호암로24길 43  (신림동,지층)",070-8981-8527,37.4695669201,126.935641931
드림당구장,당구장업,당구장,중구,서울특별시 중구 퇴계로73가길 36 (신당동),02-2233-0008,37.567050613826616,127.01346519080604
드림복싱클럽,체육도장업,권투,관악구,서울특별시 관악구 남부순환로 1434 (신림동),,37.4806182328615,126.9100762859731
드림복싱클럽,체육도장업,권투,관악구,"서울특별시 관악구 신림로 129 (신림동,4층)",02-883-1282,37.4708567753,126.934926376
드림스크린골프,골프연습장업,실내,관악구,"서울특별시 관악구 난곡로 270 (신림동,4층)",02-863-0753,37.4781498523,126.915478829
드림스포츠,체력단련장업,체력단련장,중구,서울특별시 중구 을지로 158 (을지로4가),,37.5659268564,126.9955901483
드림프렌즈스크린골프,가상체험 체육시설업,골프,관악구,"서울특별시 관악구 성현로 80 (봉천동, 관악드림타운아파트)",02-6332-1234,37.4898474387668,126.952985510916
드림합기도 HTA센터,체육도장업,합기도,관악구,서울특별시 관악구 양녕로 66 (봉천동),,37.4879641149935,126.946740171289
디앤스토리 댄스 스튜디오,무도학원업,무도학원,관악구,서울특별시 관악구 조원로2길 42 (신림동),,37.48189086825904,126.9015498647477
디에스디엘(주) 프레이저플레이스 센트럴 호텔,체력단련장업,체력단련장,중구,서울특별시 중구 통일로 78(순화동),02-2098-0530,37.5625812744423,126.969774286437
디자인휘트니스,골프연습장업,실내,중구,서울특별시 중구 덕수궁길 7(태평로2가),02-777-4280,37.5647244437,126.97635289
디지털 연습장,골프연습장업,실내,관악구,"서울특별시 관악구 시흥대로 578, 3층 (신림동)",02-6013-0707,37.4843090452,126.9032473163
라온스파,골프연습장업,실내,중구,"서울특별시 중구 칠패로 27, 지하1층(순화동)",02-775-0058,37.5602653691,126.972035326
라이프 헬스 클럽,체력단련장업,체력단련장,중구,중구 마장로9길 33(황학동),,37.5698032421,127.019329191
라이프짐 서원역점,체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 257 (신림동),,37.4778130267899,126.932525024133
랩스휘트니스 낙성대점 헬스 PT,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1895 (봉천동),9977-2518,37.4787202306311,126.960284807111
러너스하이 피트니스 신림,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1603(신림동),,37.4844379432327,126.928803713296
러쉬클랜,체육도장업,레슬링,관악구,서울특별시 관악구 남부순환로 1784 (봉천동),,37.4814196776,126.948448429
럭셔리 당구장,당구장업,당구장,중구,서울 중구  초동 158-5 3층,,37.563371403,126.991438661
럭스 당구장,당구장업,당구장,관악구,서울특별시 관악구 인헌길 35 (봉천동),02-884-4930,37.47398756164485,126.96693049272513
럭키헬스클럽,체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 272 (신림동),02-877-2660,37.479122805,126.932020399
런 서울대입구,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1832(봉천동),,37.4807059211487,126.953497637127
레드복싱 을지로,체육도장업,권투,중구,서울특별시 중구 마른내로 18(저동2가),,37.5646343728536,126.989722597206
레드우드 휘트니스,체력단련장업,체력단련장,관악구,서울특별시 관악구 미성길 27,02-830-7163,37.4746143812,126.915604906
로드빅토리,당구장업,당구장,중구,서울특별시 중구 퇴계로88길 20(신당동),,37.5647641578328,127.020885801266
로얄 당구장,당구장업,당구장,관악구,서울특별시 관악구 관악로 210 (봉천동),,37.48327838782956,126.95488277774596
로얄 당구클럽,당구장업,당구장,관악구,서울특별시 관악구 신원로 23 (신림동),,37.4817283471,126.925740833
로얄골프아카데미,가상체험 체육시설업,골프,관악구,서울특별시 관악구 양녕로 29 (봉천동),,37.4846673504229,126.946395058313
로얄당구장,당구장업,당구장,관악구,"서울특별시 관악구 남부순환로 1633  (신림동,3층)",,37.4848316738,126.932155429
로얄스포렉스,골프연습장업,실내,관악구,"서울특별시 관악구 양녕로 29, 지하1층 (봉천동)",02-874-1177,37.484026731,126.95160795
로얄스포렉스,골프연습장업,실내,관악구,"서울특별시 관악구 양녕로 29, 2층 (봉천동)",02-874-1177,37.484026731,126.95160795
롱큐당구장,당구장업,당구장,중구,서울 중구 을지로2가 199-40,02-775-6915,37.5647112939,126.983868536
롱투짐,체력단련장업,체력단련장,중구,서울특별시 중구 퇴계로8길 70(회현동1가),,37.5565886223647,126.980276412174
리당구클럽,당구장업,당구장,관악구,서울특별시 관악구 남현1길 47 (남현동),,37.475990762,126.9801387729
리더당구장,당구장업,당구장,중구,서울특별시 중구 남대문로1길 26-10(북창동),775-5467,37.5620867340846,126.977996467826
리더스 당구,당구장업,당구장,관악구,서울특별시 관악구 신림로 211 (신림동),02-8834-225,37.476490758,126.9365223386
리메이크바디샵,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1888 (봉천동),02-6015-7665,37.4785444562777,126.959002604542
리스펙 스포츠,체육교습업,농구,관악구,서울특별시 관악구 양녕로 50 (봉천동),02-876-7775,37.4864591968344,126.947220766123
리얼야구존 신림점,가상체험 체육시설업,야구,관악구,서울특별시 관악구 신림로 340 (신림동),02-882-6961,37.4847625375982,126.930096548294
릿업핏PT,체력단련장업,체력단련장,관악구,서울특별시 관악구 보라매로 22 (봉천동),,37.4913690304972,126.927315379523
마이큐,당구장업,당구장,관악구,서울특별시 관악구 낙성대로 10 (봉천동),,37.47776935036645,126.95909629926744
마인PT & 필라테스 신당청구점,체력단련장업,체력단련장,중구,서울특별시 중구 다산로36길 53(신당동),02-2233-5129,37.5615158438315,127.017843340173
만방 당구장,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1738 (봉천동),,37.4819722042,126.9430165301
매니아 당구클럽,당구장업,당구장,중구,서울특별시 중구 다산로 105(신당동),,37.5535087422633,127.009542983104
매봉산 배드민턴장,간이운동장,간이운동장,중구,,,37.5453660039,127.006323276
매일온천헬스,체력단련장업,체력단련장,중구,중구 을지로16길 5-10(인현동1가),,37.5657610038,126.994014568
맨하탄휘트니스,체력단련장업,체력단련장,중구,중구 퇴계로18길 5(남산동2가),02-777-9112,37.5603831516,126.985775434
메사 휘트니스 케어&골프,골프연습장업,실내,중구,"서울특별시 중구 남대문시장10길 2, 13층 1302호(회현동1가,  메사빌딩)",,37.5603750382,126.979600291
메타 크로스핏,체력단련장업,체력단련장,관악구,서울특별시 관악구 대학길 26 (신림동),02-000-0000,37.4696136226628,126.937716018708
명동,당구장업,당구장,중구,서울특별시 중구 세종대로14길 18 (북창동),02-318-0199,37.56277856106208,126.97773888292949
명동 바디플렉스짐 헬스&PT 명동본점,체력단련장업,체력단련장,중구,"중구 퇴계로 97, 지하1층(충무로1가, 대연각빌딩)",02-777-3434,37.5560194887,126.995409653
명동당구클럽,당구장업,당구장,중구,서울특별시 중구 난계로21길 63(황학동),,37.5638077703601,126.997555182293
명동사우나헬스,체력단련장업,체력단련장,중구,중구 명동10길 7-7(명동2가),02-776-9893,37.5635510376,126.985625427
명동힐스크린,골프연습장업,스크린,중구,서울특별시 중구 명동4길 25 (명동2가),02-754-0707,37.5624588355,126.9841089715
명문 당구장,당구장업,당구장,중구,서울특별시 중구 마장로5길 35 (황학동),,37.569590604936224,127.0193427196767
명보 당구클럽,당구장업,당구장,중구,서울특별시 중구 마른내로 41 (초동),,37.56458241386477,126.9924934264279
명천당구장,당구장업,당구장,중구,서울 중구 회현동2가 3번지,02-778-9343,37.5601232342,126.982565686
명풍 당구장,당구장업,당구장,중구,서울특별시 중구 퇴계로86길 101 (신당동),,37.5612295245824,127.01831739171988
몬스터 키즈 풀,수영장업,실내,관악구,"서울특별시 관악구 구암길 106 (봉천동, 관악드림타운 분산상가 지층 01~07호)",02-876-3377,37.491280404,126.948663283
무교스크린,골프연습장업,스크린,중구,서울특별시 중구 다동길 46(다동),02-756-6788,37.5678614943581,126.981726148037
무무관 화랑합기도장,체육도장업,합기도,관악구,서울특별시 관악구 은천로 42 (봉천동),,37.48598201260703,126.94002395429322
무브 유,체력단련장업,체력단련장,관악구,서울특별시 관악구 은천로 124 (봉천동),02-000-0000,37.4865535628013,126.94893008197
무브라이프짐,체력단련장업,체력단련장,관악구,서울특별시 관악구 난곡로 194 (신림동),02-866-0111,37.4722697720366,126.919608982564
무예합기도,체육도장업,합기도,관악구,서울특별시 관악구 조원로 157(신림동),,37.4860202491989,126.919605105318
무학,무도학원업,무도학원,관악구,서울특별시 관악구 봉천로12길 49(신림동),,37.4864806223175,126.930168216331
문화,당구장업,당구장,중구,서울 중구 충정로1가 58-3 청양빌딩 지하1층,,37.5674833434,126.968808932
미성체육관,체육관,구기체육관,관악구,서울특별시 관악구 난우16길 37 (신림동),02-2081-2640,37.4778617197503,126.919360939368
미스터버디 골프스쿨 회현점,가상체험 체육시설업,골프,중구,"서울특별시 중구 퇴계로 72(회현동1가, 리더스뷰남산)",02-3494-9297,37.5591253443035,126.980603849217
민당구장,당구장업,당구장,관악구,서울특별시 관악구 호암로22길 37 (신림동),02-8780-881,37.4689032955,126.9347652882
민족태권도,체육도장업,태권도,관악구,"서울특별시 관악구 양녕로6나길 18 (봉천동, 신봉아파트)",02-873-1888,37.4845553949,126.9489256757
밀리오레당구장,당구장업,당구장,중구,서울 중구 을지로6가18-185,,37.5683232954,127.008308354
바디 질,체력단련장업,체력단련장,관악구,서울특별시 관악구 양녕로 29 (봉천동),02-874-1177,37.4846673504,126.9463950583
바디가드 짐,체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 368 (신림동),,37.4871133964642,126.929253228862
바디에프오 낙성대점,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1951 (봉천동),02-883-4533,37.4763892324087,126.966079042098
바디케이PT 난곡점,체력단련장업,체력단련장,관악구,서울특별시 관악구 난곡로 173 (신림동),,37.4705630954799,126.91963409766
바디클래스,체력단련장업,체력단련장,관악구,서울특별시 관악구 봉천로 212(신림동),02-888-9682,37.4896370569469,126.925060666631
바비엥 휘트니스클럽,골프연습장업,실내,중구,서울특별시 중구 통일로 114(의주로1가),,37.5652414304,126.967931527
바운드짐,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 1798(봉천동),02-877-0834,37.4812917378912,126.949923176815
박교수 체형교정센터,체력단련장업,체력단련장,관악구,서울특별시 관악구 난곡로 53 (신림동),,37.4602221608432,126.919326648265
박창환 복싱클럽,체육도장업,권투,중구,서울특별시 중구 퇴계로 438-1 (신당동),,37.5654422531,127.020337706
반얀트리 아이스링크,빙상장업,빙상장,중구,서울시 중구 장충단로 60(장충동2가),02-2236-3356,37.550069386,127.000497927
백마,당구장업,당구장,중구,서울 중구 신당동 52-13,02-2253-6566,37.5631827661,127.019069419
백무본관 합기도 특공무술,체육도장업,합기도,관악구,서울특별시 관악구 법원단지길 28 (신림동),02-831-4878,37.4741658821631,126.919248807252
백조,무도학원업,무도학원,중구,서울 중구 주교동 122-2,,37.5682154558,126.998283999
밸런스 메이트 PT STUDIO,체력단련장업,체력단련장,관악구,서울특별시 관악구 대학길 6 (신림동),,37.4703043630397,126.937764733151
버디골프스쿨,골프연습장업,실내,관악구,서울특별시 관악구 신림로 206 (신림동),02-884-4243,37.4756298851,126.937445578
범스골프스튜디오,가상체험 체육시설업,골프,중구,서울특별시 중구 다산로 239(무학동),,37.5644879841586,127.015782007676
범진권투,체육도장업,권투,관악구,서울특별시 관악구 남부순환로 1361 (신림동),,37.4798009775,126.902090768
벗 명보헬스클럽,체력단련장업,체력단련장,중구,중구 마른내로 50-1(인현동1가),,37.5641932345,126.993344629
베네치아 스포츠센터,골프연습장업,스크린,중구,"서울특별시 중구 청계천로 400 (황학동, 롯데캐슬베네치아)",,37.570977776453645,127.02143495625296
베네핏,체력단련장업,체력단련장,중구,서울특별시 중구 퇴계로86길 70 (신당동),,37.562580951985886,127.01874782234762
벤호건 스크린골프,골프연습장업,스크린,중구,서울특별시 중구 퇴계로86가길 25 (신당동),02-2233-0753,37.5622023627,127.0197935437
보고당구장,당구장업,당구장,중구,서울 중구 을지로2가 199-63,02-755-0602,37.5655510377,126.983981543
보스당구장,당구장업,당구장,중구,서울특별시 중구 다산로44길 19(신당동),,37.5650829518773,127.018020650943
보스당구클럽,당구장업,당구장,관악구,"서울특별시 관악구 신림로 206  (신림동,태영빌딩 3층)",02-6326-6578,37.4756298851,126.937445578
복싱 MMA 주짓수 마이티짐,체육도장업,권투,관악구,"서울특별시 관악구 봉천로 516, 5층 (봉천동)",02-6409-8879,37.4797323104,126.955658234
본당구클럽,당구장업,당구장,관악구,"서울특별시 관악구 남부순환로 1734, 지하1층 (봉천동)",02-878-7557,37.4819865023,126.942772304
봉,당구장업,당구장,중구,서울 중구 산림동 205,,37.5674657491,126.99537273
봉일골프랜드,골프연습장업,실내,관악구,서울특별시 관악구 은천로 28 (봉천동),02-874-5800,37.4850831667,126.952728894
봉일스파랜드,체력단련장업,체력단련장,관악구,서울특별시 관악구 은천로 28 (봉천동),02-874-4900,37.4850831667,126.952728894
봉일스파랜드,골프연습장업,실내,관악구,"서울특별시 관악구 은천로 28, 지하1층 (봉천동)",02-874-8500,37.4850831667,126.952728894
봉천스크린골프,골프연습장업,스크린,관악구,"서울특별시 관악구 쑥고개로 100 (봉천동, 생모리츠타운)",,37.47891815731291,126.94772205502365
봉천태양체육관,체육도장업,권투,관악구,서울특별시 관악구 양녕로 70 (봉천동),,37.4881688407548,126.946577767951
봉천태양체육관,골프연습장업,실내,관악구,서울특별시 관악구 양녕로 70 (봉천동),,37.4881688407548,126.946577767951
불패당구클럽,당구장업,당구장,중구,서울 중구 초동 158-1   2층,,37.5635588073,126.991397892
브라보당구장,당구장업,당구장,관악구,서울특별시 관악구 청룡길 9 (봉천동),,37.4814043396,126.9463771514
블랙멀티짐(서울대점),체력단련장업,체력단련장,관악구,서울특별시 관악구 관악로 217 (봉천동),02-885-8628,37.48437751230517,126.9546062356258
블랙박스,당구장업,당구장,중구,서울특별시 중구 마른내로2길 30(초동),,37.5633305026485,126.991506236821
블루,골프연습장업,실내,관악구,"서울특별시 관악구 관악로37길 15 (봉천동,동아타운21 지층)",02-877-0753,37.4889519678,126.95711821
블루당구장,당구장업,당구장,중구,서울특별시 중구 마른내로4길 23(인현동1가),,37.5632273882396,126.993744031668
비룡태권도체육관,체육도장업,태권도,관악구,"서울특별시 관악구 은천로25길 69, 5층 502호 (봉천동)",,37.4890673961,126.948357238
비앤비클럽,당구장업,당구장,중구,서울특별시 중구 퇴계로86길 39 (신당동),02-2237-5307,37.56371963315201,127.01983921947888
비전스크린 골프,골프연습장업,스크린,중구,"서울특별시 중구 동호로10길 30 (신당동, 약수하이츠)",02-2232-0002,37.5553084653,127.0163105142
비치바디,체력단련장업,체력단련장,중구,서울특별시 중구 난계로 197 (황학동),,37.56911417089922,127.02326816550726
비트스크린골프카페,가상체험 체육시설업,골프,관악구,서울특별시 관악구 신림로17길 62 (신림동),,37.4680047829085,126.936205424929
빅토리당구장,당구장업,당구장,중구,서울 중구 순화동 207-26,02-756-6130,37.5593571277,126.971881742
빌리#당구장,당구장업,당구장,관악구,서울특별시 관악구 신림로59길 15-10 (신림동),02-882-5386,37.4827287662,126.929163407
빌앤 당구장,당구장업,당구장,관악구,"서울특별시 관악구 신림로 329  (신림동,5층)",02-875-3500,37.4836731877,126.929438394
빌킬,당구장업,당구장,중구,서울특별시 중구 다산로40길 6(신당동),02-000-0000,37.5638915224973,127.016457376676
쁘렝땅당구장,당구장업,당구장,중구,서울 중구 을지로2가 50,02-773-1772,37.5665028114,126.986562073
사계절당구장,당구장업,당구장,관악구,서울특별시 관악구 신림로 362(신림동),02-871-0663,37.4866709615955,126.929487813026
사당 풋볼 아카데미,체육교습업,축구,관악구,서울특별시 관악구 남부순환로 2030 (남현동),,37.4759152954469,126.974265107747
삼거리당구장,당구장업,당구장,중구,서울 중구 황학동 2494 3층,,37.5654741534,127.023239868
삼모스포렉스&스파,종합체육시설업,종합체육시설,관악구,서울시 관악구 신림로 59길 23(신림동),02-878-5281,37.4828617669,126.928584395
삼성M 헬스클럽,체력단련장업,체력단련장,중구,중구 중림로 10,02-393-8707,37.5579685418,126.967771669
삼성당구장,당구장업,당구장,관악구,서울특별시 관악구 호암로 528 (신림동),,37.4647533264,126.931730473
삼성당구장,당구장업,당구장,중구,"서울특별시 중구 중림로 10 (중림동, 중림동 삼성 사이버 빌리지)",,37.55811560607746,126.965304338522
삼성당구장,당구장업,당구장,중구,서울 중구 서소문동 57-1,02-753-0609,37.5630152737,126.972301415
삼성산 스크린,골프연습장업,스크린,관악구,"서울특별시 관악구 호암로 399 (신림동, 삼성산주공아파트)",,37.461372542,126.9254535224
삼성유아태권도,체육도장업,태권도,관악구,서울특별시 관악구 청룡4길 46 (봉천동),,37.4811356863777,126.943724249966
삼성태권도체육관,체육도장업,태권도,중구,서울 중구 신당동 843 삼성(아) 중심상가 403호,02-2236-5220,37.5581698035,127.017895622
삼일 헬스,체력단련장업,체력단련장,중구,중구 퇴계로 42-1(남창동),02-752-9753,37.5637197002,127.019436278
삼호당구장,당구장업,당구장,중구,서울특별시 중구 을지로33길 22-4 (주교동),,37.56742619463982,126.99943857025984
새로나스크린골프,골프연습장업,스크린,중구,서울특별시 중구 남대문로 30 (남창동),,37.5608362518,126.9790478391
샤 당구클럽,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1924 (봉천동),,37.4769092337,126.9628773209
샤샤빌리아즈,당구장업,당구장,관악구,서울특별시 관악구 낙성대로 22 (봉천동),,37.4765240472309,126.958785739699
서소문 당구장,당구장업,당구장,중구,서울특별시 중구 서소문로 129(서소문동),02-754-7520,37.5637968168968,126.975224719196
서울YWCA 스포츠센터,수영장업,실내,중구,서울특별시 중구 명동11길 20,,37.5649025948,126.986150358
서울대 아고라,당구장업,당구장,관악구,"서울특별시 관악구 관악로 158, 지하2층 (봉천동)",,37.4793095347,126.952809411
서울대골프연습장,골프연습장업,실내,관악구,서울특별시 관악구 관악로15길 23-16 (봉천동),02-8750-753,37.4795933968,126.9507108606
서울대벤처타운역점 스포애니 (주)케이디헬스케어,체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 135 (신림동),02-876-9618,37.471091692931,126.934318776342
서울대스크린골프연습장,골프연습장업,스크린,관악구,서울특별시 관악구 관악로15길 23-11 (봉천동),02-875-0753,37.4797846059,126.951181061
서울대학교 Double S Fitness,체력단련장업,체력단련장,관악구,"서울특별시 관악구 관악로 1, 900동 B2호 (봉천동)",02-881-9235,37.4900837167,126.957348236
서울덕수초교 수영장,수영장업,실내,중구,서울특별시 중구 덕수궁길 140,02-739-0283,37.5690885161,126.974658129
서울레슬링센터,체육도장업,레슬링,관악구,서울특별시 관악구 남부순환로 1708 (봉천동),02-000-0000,37.482923301406,126.939732772464
서울시청역점 스포애니 (주)케이디스포츠,체력단련장업,체력단련장,중구,서울특별시 중구 서소문로 124(서소문동),,37.56310620292,126.975223589679
서울체육관,체육도장업,태권도,중구,서울 중구 신당2동 353-14 2층,02-2233-5915,37.5523972776,127.008261319
석사 경희태권도,체육도장업,태권도,관악구,,02-586-7676,37.4749809918,126.976643475
선샤인핏,체력단련장업,체력단련장,관악구,"서울특별시 관악구 쑥고개로 100 (봉천동, 생모리츠타운)",02-886-2258,37.4789469576,126.9476496779
선우체육관,체육관,구기체육관,관악구,서울특별시 관악구 문성로16다길 133-70 (신림동),02-2081-2665,37.4674327752862,126.91261164171
선일 당구장,당구장업,당구장,중구,서울특별시 중구 동호로 191(신당동),02-2234-6272,37.5549455286319,127.009965073767
설핏,체력단련장업,체력단련장,관악구,서울특별시 관악구 난곡로65길 9(신림동),,37.4822280381008,126.913663987458
성동구락부,당구장업,당구장,중구,서울 중구 무학동 32(2층),,37.5641708234,127.015171526
성무태권도,체육도장업,태권도,관악구,"서울특별시 관악구 신원로 16 (신림동,2층)",02-859-6634,37.4807385934,126.927930665
세계태권도체육관,체육도장업,태권도,관악구,서울특별시 관악구 난향길 5 (신림동),,37.4627339242,126.918557131
세로나휘트니스,골프연습장업,실내,중구,서울특별시 중구 남대문로 30(남창동),02-775-2523,37.5674828275,126.984388619
세븐 당구장,당구장업,당구장,관악구,"서울특별시 관악구 난곡로 316  (신림동,7층)",02-857-0390,37.4821678191,126.914737135
세븐당구장,당구장업,당구장,관악구,"서울특별시 관악구 난우길 20 (신림동, 금창빌딩)",,37.4747858961,126.918634496
세심한 PT studio,체력단련장업,체력단련장,중구,서울특별시 중구 퇴계로 409 (흥인동),,37.56580678318987,127.01700099216444
소공스크린골프,골프연습장업,스크린,중구,서울특별시 중구 세종대로18길 36 (소공동),,37.563751891,126.9791285164
손기정문화체육센터,체력단련장업,체력단련장,중구,서울특별시 중구 손기정로 101(만리동2가),02-392-6957,37.5554795035057,126.964815746241
손기정문화체육센터,골프연습장업,스크린,중구,서울특별시 중구 손기정로 101(만리동2가),392-6957,37.5554795035057,126.964815746241
손기정체육공원인조잔디축구장,축구장,축구장,중구,중구 손기정로 101,02-2280-8455,37.5568688301,126.966006605
수 당구장,당구장업,당구장,관악구,서울특별시 관악구 봉천로 615 (봉천동),,37.4757459374,126.965545949
수남스크린골프,골프연습장업,스크린,중구,서울특별시 중구 퇴계로41길 36(인현동2가),,37.5633881407747,126.996208629658
숭례문 당구클럽,당구장업,당구장,중구,서울특별시 중구 세종대로 23 (남대문로5가),,37.55903681935151,126.97382401020188
스윗짐,체력단련장업,체력단련장,중구,서울특별시 중구 퇴계로 456(신당동),,37.5652198296745,127.022159634615
스카이 P.P,체력단련장업,체력단련장,중구,"중구 마른내로 146, 3층(쌍림동)",070-4257-0087,37.5645573508,127.004174342
스카이 스크린골프,가상체험 체육시설업,골프,중구,서울특별시 중구 세종대로11길 30 (서소문동),,37.5623489690836,126.97421220368604
스카이당구장,당구장업,당구장,중구,서울 중구 주교동 67,,37.5686587552,126.999175952
스카이스크린골프,골프연습장업,스크린,중구,서울특별시 중구 퇴계로73가길 36 지하1층,,37.5670470098,127.01346519
스크린골프 남산타운,골프연습장업,스크린,중구,"서울특별시 중구 다산로 32 (신당동, 남산타운)",02-2238-1275,37.54901305214593,127.00927941764496
스타당구장,당구장업,당구장,관악구,서울특별시 관악구 신림로 376 (신림동),,37.48798324724765,126.92883280028568
스톤즈 클라이밍,인공암벽장업,인공암벽장,관악구,"서울특별시 관악구 남부순환로 1990-3 (봉천동, 닷컴 힐즈)",,37.4750684571627,126.970140807461
스트라이크존 사당역구장,가상체험 체육시설업,야구,관악구,서울특별시 관악구 과천대로 939 (남현동),02-588-3388,37.4743771732195,126.981430242321
스트라이크존 신림역구장,가상체험 체육시설업,야구,관악구,"서울특별시 관악구 신림로 350(신림동, 서원프라자, 태영아파트)",02-882-0909,37.4855072234589,126.929948753311
스포니스 약수점,체력단련장업,체력단련장,중구,서울특별시 중구 동호로10길 6(신당동),,37.5541077070949,127.011747637038
스포빌키즈쿠아수영장,수영장업,실내,중구,"서울특별시 중구 청계천로 400(황학동, 롯데캐슬베네치아)",02-2088-2083,37.5708105464699,127.021463886656
스포짐,체력단련장업,체력단련장,중구,"서울특별시 중구 세종대로 64, 해남빌딩 2층 210호 (태평로2가)",02-772-9682,37.5619733194,126.9766962522
스포츠 당구장,당구장업,당구장,관악구,서울특별시 관악구 낙성대로 11 (봉천동),,37.4773766443,126.9594854243
스포츠당구장,당구장업,당구장,중구,서울특별시 중구 동호로24길 27-7 (장충동2가),,37.560452379612215,127.00497090639858
